Timestamp,Score,Pen name,Q1. Gender,Q2. 高校時代の英語の偏差値はどのくらい？,Q3. 高校時代の国語の偏差値はどのくらい？,Q4. 高校時代の数学の偏差値はどのくらい？,Q5. 高校時代の理科の偏差値はどのくらい？,Q6. 高校時代の社会の偏差値はどのくらい？,Q7. 高校時代の体育の成績を５段階評価で表すと？,Q8. 高校時代、勉強がどのくらい好きだったか５段階評価で,Q9. 浪人経験はありますか？,Q10. 今の大学は第一希望でしたか？,Q11. 今、実家暮らし？一人暮らし？,Q12. 大学への通学時間は？（単位：分）,Q13. 朝ごはんは週何回くらい食べてる？,Q14. １日あたりの睡眠時間は平均何時間？,Q15. 大学の成績(GPA)は？,Q16. 今、バイトは週何時間くらい？,Q17. 部活（またはサークル活動）は週何時間？,Q18. 彼氏または彼女はいる？,Q19. あなたはリア充ですか？５段階評価で
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5/18/2017 13:28:25,,pp,男性 Male,50,50,55,60,60,4,3,ない（現役合格）,第二希望,実家,60,7,6,2.8,4,20,いる（２次元）,2
5/18/2017 13:28:37,,chimp,男性 Male,70,60,70,70,60,4,3,ない（現役合格）,第一希望,実家,90,7,5,3.2,6.5,6,いない,1
5/18/2017 13:37:00,,あんぱん,男性 Male,80,70,65,70,50,5,3,ない（現役合格）,第二希望,実家,90,7,6,2.4,0,15,いない,3
5/18/2017 13:40:12,,あかさたな,男性 Male,40,50,55,55,50,3,3,ない（現役合格）,第一希望,一人,30,5,6,2,10,8,いる（リアル）,2
5/18/2017 13:37:35,,rrr,男性 Male,65,60,70,65,50,5,3,１浪,第一希望,実家,120,7,6,2.8,12,2,いない,3
5/18/2017 13:37:15,,com,男性 Male,58,50,60,60,50,4,3,ない（現役合格）,第一希望,実家,90,7,7,2.6,2,10,いる（リアル）,3
5/18/2017 13:37:19,,kk,男性 Male,79,60,70,70,60,5,3,ない（現役合格）,第一希望,実家,100,7,7,3.07,4,10,いない,2
5/18/2017 13:40:22,,矢澤にこ,男性 Male,65,40,75,70,55,5,4,ない（現役合格）,第一希望,実家,60,3,6,2.03,12,6,いる（リアル）,5
5/18/2017 13:37:37,,zxcv,男性 Male,65,60,70,70,55,4,3,それ以上,第二希望,一人,6,7,6,3.3,0,3,いない,2
5/18/2017 13:37:39,,あいう,男性 Male,65,68,69,65,57,5,3,１浪,第一希望,実家,60,7,5,2.8,15,10,いる（リアル）,3
5/18/2017 13:37:40,,rise,女性 Female,70,70,65,65,55,3,2,ない（現役合格）,第一希望,実家,60,7,5,2.5,5.5,12,いない,3
5/18/2017 13:37:40,,きりが,男性 Male,50,50,50,50,50,5,3,それ以上,第一希望,一人,6,1,8,2.3,10,15,いない,5
5/18/2017 13:37:41,,sfsf,男性 Male,62,65,72,73,55,4,5,１浪,第二希望,一人,6,7,8,3,0,2,いる（２次元）,5
5/18/2017 13:37:45,,どんきー,男性 Male,55,55,65,60,55,4,2,ない（現役合格）,第一希望,実家,70,6,7,2.8,15,3,いない,3
